Code,Wilaya,Moughataa,Commune,GPS Latitude,GPS Longitude
10,Guidimagha,Ghabou,Baydjam,18.0574,-15.9603
10,Guidimagha,Ghabou,Baydjam,18.0574,-15.9603
10,Guidimagha,Ghabou,Baydjam,18.0574,-15.9603
10,Guidimagha,Ghabou,Baydjam,18.0574,-15.9603
10,Guidimagha,Ghabou,Baydjam,18.0574,-15.9603
10,Guidimagha,Ghabou,Baydjam,18.0574,-15.9603
9,Tagant,Moudjeria,Moudjeria,17.9991,-15.9627
9,Tagant,Moudjeria,Moudjeria,17.9991,-15.9627
9,Tagant,Moudjeria,Moudjeria,17.9991,-15.9627
9,Tagant,Moudjeria,Moudjeria,17.9991,-15.9627
9,Tagant,Moudjeria,Moudjeria,17.9991,-15.9627
9,Tagant,Moudjeria,Moudjeria,17.9991,-15.9627
5,Brakna,Boghé,Boghé,17.6392,-15.9513
5,Brakna,Boghé,Boghé,17.6392,-15.9513
5,Brakna,Boghé,Boghé,17.6392,-15.9513
5,Brakna,Boghé,Boghé,17.6392,-15.9513
5,Brakna,Boghé,Boghé,17.6392,-15.9513
5,Brakna,Boghé,Boghé,17.6392,-15.9513
2,Hodh El Gharbi,Tintane,Devaa,17.3161,-16.0074
2,Hodh El Gharbi,Tintane,Devaa,17.3161,-16.0074
2,Hodh El Gharbi,Tintane,Devaa,17.3161,-16.0074
2,Hodh El Gharbi,Tintane,Devaa,17.3161,-16.0074
2,Hodh El Gharbi,Tintane,Devaa,17.3161,-16.0074
2,Hodh El Gharbi,Tintane,Devaa,17.3161,-16.0074
8,Dakhlet Nouadhibou,Chami,Chami,17.282,-15.9731
8,Dakhlet Nouadhibou,Chami,Chami,17.282,-15.9731
8,Dakhlet Nouadhibou,Chami,Chami,17.282,-15.9731
8,Dakhlet Nouadhibou,Chami,Chami,17.282,-15.9731
8,Dakhlet Nouadhibou,Chami,Chami,17.282,-15.9731
8,Dakhlet Nouadhibou,Chami,Chami,17.282,-15.9731
11,Tiris Zemmour,F'Deirick,F'Deirick,17.1655,-16.0009
11,Tiris Zemmour,F'Deirick,F'Deirick,17.1655,-16.0009
11,Tiris Zemmour,F'Deirick,F'Deirick,17.1655,-16.0009
11,Tiris Zemmour,F'Deirick,F'Deirick,17.1655,-16.0009
11,Tiris Zemmour,F'Deirick,F'Deirick,17.1655,-16.0009
11,Tiris Zemmour,F'Deirick,F'Deirick,17.1655,-16.0009
6,Trarza,Rosso,Rosso,17.6266,-15.9575
6,Trarza,Rosso,Rosso,17.6266,-15.9575
6,Trarza,Rosso,Rosso,17.6266,-15.9575
6,Trarza,Rosso,Rosso,17.6266,-15.9575
6,Trarza,Rosso,Rosso,17.6266,-15.9575
6,Trarza,Rosso,Rosso,17.6266,-15.9575
1,Hodh Chargui,Amourj,Amourj,17.8575,-16.009
1,Hodh Chargui,Amourj,Amourj,17.8575,-16.009
1,Hodh Chargui,Amourj,Amourj,17.8575,-16.009
1,Hodh Chargui,Amourj,Amourj,17.8575,-16.009
1,Hodh Chargui,Amourj,Amourj,17.8575,-16.009
1,Hodh Chargui,Amourj,Amourj,17.8575,-16.009
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
6,Trarza,Ouad Naga,Ouad Naga,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
1,Hodh Chargui,Bassiknou,Bassiknou,,
