CodeWilaya,Wilaya,Moughataa,Commune
10,Guidimagha,Ghabou,Baydjam
9,Tagant,Moudjeria,Moudjeria
5,Brakna,Boghé,Boghé
2,Hodh El Gharbi,Tintane,Devaa
8,Dakhlet Nouadhibou,Chami,Chami
11,Tiris Zemmour,F'Deirick,F'Deirick
6,Trarza,Rosso,Rosso
1,Hodh Chargui,Amourj,Amourj
6,Trarza,Ouad Naga,Ouad Naga
1,Hodh Chargui,Bassiknou,Bassiknou
2,Hodh El Gharbi,Tamcheket,Tamcheket
3,Assaba,Kiffa,Kiffa
5,Brakna,Aleg,Aleg
4,Gorgol,M'Bout,M'Bout
5,Brakna,Aleg,Aghchourguit
1,Hodh Chargui,Bassiknou,Dhar
1,Hodh Chargui,Timbedra,Timbedra
2,Hodh El Gharbi,Koubenni,Koubenni
9,Tagant,Moudjeria,Tamourt Naaj
9,Tagant,Moudjeria,Soudoud
6,Trarza,Mederdra,Mederdra
6,Trarza,R'Kiz,Boutalhaye
13,Nouakchott Ouest,Ksar,Ksar
3,Assaba,Kiffa,El Melgue
4,Gorgol,Monguel,Monguel
5,Brakna,Boghé,Ould Biram
1,Hodh Chargui,Bassiknou,El Megve
15,Nouakchott Sud,Riyad,Riyad
4,Gorgol,Kaédi,Tifondé Civé
2,Hodh El Gharbi,Koubenni,Voullaniya
6,Trarza,Keur Macène,Keur Macène
3,Assaba,Guerou,Guerou
8,Dakhlet Nouadhibou,Nouadhibou,Nouadhibou
4,Gorgol,Kaédi,Nere Walo
1,Hodh Chargui,N'beiket Lahwach,N'Beiket Lahwach
3,Assaba,Kiffa,Nouamlein
13,Nouakchott Ouest,Sebkha,Sebkha
10,Guidimagha,Ghabou,Ghabou
5,Brakna,Magtalahjar,Magtalahjar
15,Nouakchott Sud,El Mina,El Mina
6,Trarza,Keur Macène,M'Balal
3,Assaba,Barkéol,Barkéol
12,Inchiri,Bennechab,M'heijrat
3,Assaba,Boumdeid,Lavtah
3,Assaba,Boumdeid,Boumdeid
4,Gorgol,Kaédi,Kaédi
2,Hodh El Gharbi,Aïoun,Doueirare
2,Hodh El Gharbi,Aïoun,Aioun
2,Hodh El Gharbi,Aïoun,Egjert
2,Hodh El Gharbi,Aïoun,Oum Lahyadh
7,Adrar,Atar,Atar
5,Brakna,Aleg,Male
3,Assaba,Kiffa,Legrane
9,Tagant,Tidjikja,Tidjikja
3,Assaba,Boumdeid,Hseiy Tin
2,Hodh El Gharbi,Koubenni,Hassi Ehl Ahmed Bechne
5,Brakna,Boghé,Dar EL Aviye
14,Nouakchott Nord,Dar Naïm,Dar Naim
1,Hodh Chargui,Néma,Néma
5,Brakna,Aleg,Bouhdide
6,Trarza,R'Kiz,R'Kiz
10,Guidimagha,Ghabou,Souvi
2,Hodh El Gharbi,Tamcheket,Sava
6,Trarza,Mederdra,Beir Taouress
1,Hodh Chargui,Néma,Mabrouk
15,Nouakchott Sud,Arafat,Arafat
1,Hodh Chargui,Djiguenni,Ghlig Ehel Boyé
11,Tiris Zemmour,Zoueratt,Zoueratt
5,Brakna,Aleg,Cheggar
2,Hodh El Gharbi,Tintane,Tintane
1,Hodh Chargui,Néma,Agoueinit
5,Brakna,Magtalahjar,Sangrave
10,Guidimagha,Sélibaby,Sélibaby
10,Guidimagha,Ould Yengé,Ould Yengé
2,Hodh El Gharbi,Tintane,Hassi Abdallah
2,Hodh El Gharbi,Aïoun,N'Savenni
1,Hodh Chargui,Djiguenni,Djiguenni
6,Trarza,Ouad Naga,El Ariye
6,Trarza,Ouad Naga,Aouleiygat
7,Adrar,Atar,Tawaz
1,Hodh Chargui,Timbedra,Etouil
1,Hodh Chargui,Timbedra,Hassi M'Hadi
2,Hodh El Gharbi,Koubenni,Gougui Zemmal
7,Adrar,Ouadane,Ouadane
1,Hodh Chargui,Oualata,Oualata
1,Hodh Chargui,Néma,Beribave
1,Hodh Chargui,Néma,Hassi Etile
5,Brakna,Boghé,Dar El Barke
1,Hodh Chargui,Amourj,Bougadoum
11,Tiris Zemmour,Bir Moghrein,Bir Moghrein
1,Hodh Chargui,Djiguenni,Feireni
2,Hodh El Gharbi,Koubenni,Timzine
1,Hodh Chargui,Néma,Jreif
12,Inchiri,Bennechab,Bennechab
4,Gorgol,Maghama,Maghama
2,Hodh El Gharbi,Aïoun,Ten Hamadi
6,Trarza,Mederdra,Taguilalet
1,Hodh Chargui,Néma,Bangou
12,Inchiri,Akjoujt,Akjoujt
4,Gorgol,Maghama,Daw
13,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina
5,Brakna,Bababé,Bababé
1,Hodh Chargui,Djiguenni,Gasr El Barka
7,Adrar,Atar,Ain Ehel Taya
3,Assaba,Barkéol,El Ghabra
4,Gorgol,Maghama,Toulel
1,Hodh Chargui,Néma,Oum Avnadech
4,Gorgol,Kaédi,Djewol
10,Guidimagha,Ould Yengé,Tektake
4,Gorgol,Maghama,Beileguet Litam
4,Gorgol,Maghama,Sagny
10,Guidimagha,Ould Yengé,Leaweinat
4,Gorgol,Maghama,Dolol Cive
4,Gorgol,Maghama,Wali Djantang
6,Trarza,Mederdra,El Khat
5,Brakna,Bababé,Aere M'Bar
9,Tagant,Tidjikja,El Wahat (Rachid)
8,Dakhlet Nouadhibou,Chami,Tmeimichat
14,Nouakchott Nord,Teyaret,Teyaret
4,Gorgol,Maghama,Vrea Litame
2,Hodh El Gharbi,Aïoun,Beneamane2
9,Tagant,Tidjikja,Nimlane
6,Trarza,R'Kiz,Bareine
7,Adrar,Chinguitti,Chinguitti
5,Brakna,Bababé,El Verae
3,Assaba,Barkéol,Daghveg
